task,model,feature_set,split,random_state,train_rows,test_rows,model_vs_animal4_pearson_r,model_vs_animal4_r2,model_vs_animal4_mae,animal_mean_vs_animal4_pearson_r,model_vs_animal_mean_pearson_r,model_vs_animal4_spearman_r,model_vs_animal4_rmse,model_vs_animal4_bootstrap_resamples,model_vs_animal4_bootstrap_confidence,model_vs_animal4_pearson_r_ci_low,model_vs_animal4_pearson_r_ci_high,model_vs_animal4_spearman_r_ci_low,model_vs_animal4_spearman_r_ci_high,model_vs_animal4_r2_ci_low,model_vs_animal4_r2_ci_high,model_vs_animal4_mae_ci_low,model_vs_animal4_mae_ci_high,model_vs_animal4_rmse_ci_low,model_vs_animal4_rmse_ci_high
brain,lightgbm,one_hot_physchem,distance-2-sequence-holdout__train-a1-a3__test-a4,42,75118,18357,0.5224640590237668,0.2578448587726877,0.7139445928456727,0.6224487232638247,0.5399134088058257,0.5356672404166362,0.9748271718277852,500,0.95,0.5115733742315984,0.5345550210515385,0.5247360408091722,0.5463837391231003,0.24835459163947807,0.2678596425575285,0.7048478453521981,0.7236849902909948,0.9610531090580889,0.9902288381777371
spinal_cord,lightgbm,one_hot_physchem,distance-2-sequence-holdout__train-a1-a3__test-a4,42,76469,18682,0.5377443910134158,0.2648002891121791,0.7074365383439712,0.6410669061537677,0.5724920998880669,0.5826407015743036,0.9852058718110728,500,0.95,0.5256968107628694,0.5507512505205422,0.5716768527475694,0.5932517663453718,0.2551895220880818,0.2749921781499491,0.6978469881984312,0.7164163902662588,0.9699557877815281,0.9990044184689951
liver,lightgbm,one_hot_physchem,distance-2-sequence-holdout__train-a1-a3__test-a4,42,77214,18619,0.774094256666895,0.598727725557683,0.742704763471258,0.823121080856108,0.808855728707019,0.7901293656574578,1.0030433199270872,500,0.95,0.7678163708816064,0.7802444324661892,0.7840631659448293,0.7964751810975071,0.5891811339594984,0.6075986166779772,0.732890409528272,0.752853788841615,0.9902036386941757,1.0155374470261351
heart,lightgbm,one_hot_physchem,distance-2-sequence-holdout__train-a1-a3__test-a4,42,77707,19508,0.40823995934511975,0.16316291973070918,0.6775199632285187,0.5954400686468404,0.5208922571769197,0.4040219773124279,0.9334487859580948,500,0.95,0.39565303923486517,0.4220782753426505,0.39120549562482104,0.415832195180604,0.1539396995612158,0.17277141821182215,0.6688691654935709,0.68609654631721,0.9194440163034506,0.9474327719664799
kidney,lightgbm,one_hot_physchem,distance-2-sequence-holdout__train-a1-a3__test-a4,42,77867,19433,0.6132409425215788,0.3710243295989736,0.5836071936480515,0.7285953352593059,0.6668280034354945,0.6282901191010862,0.7791085524354854,500,0.95,0.6039253249781523,0.6232035955082368,0.6195839145704198,0.6380401444212354,0.3605298572610571,0.3824123269022039,0.5766545578493267,0.5908647356728312,0.7680430803491822,0.7903621911974612
