task,model,split,random_state,train_rows,test_rows,pearson_r,r2,mae
Production,ridge,independent-assessment-library,42,24000,57724,0.7668236711160065,0.5877551433381005,2.2006498959194047
Production,random_forest,independent-assessment-library,42,24000,57724,0.779518591712434,0.6072331964566282,2.059015205150346
