experiment_accession,experiment_alias,experiment_title,biosample_accession,run_accession,bytes,spots,library,assay_type,sample,lab_host
SRX25195590,Octo_BioD-A2_Liver_1,Multifunction library mouse liver biodistribution,SRS21884671,SRR29692595,88796153,1385587,Multifunction,Biodistribution,liver (mouse) - biodistribution,Mus musculus
SRX25195589,Octo_BioD-A1_Liver_3,Multifunction library mouse liver biodistribution,SRS21884671,SRR29692596,131032706,2056450,Multifunction,Biodistribution,liver (mouse) - biodistribution,Mus musculus
SRX25195588,Octo_BioD-A1_Liver_2,Multifunction library mouse liver biodistribution,SRS21884671,SRR29692597,126217679,1965665,Multifunction,Biodistribution,liver (mouse) - biodistribution,Mus musculus
SRX25195587,Octo_BioD-A1_Liver_1,Multifunction library mouse liver biodistribution,SRS21884671,SRR29692598,212633514,3336010,Multifunction,Biodistribution,liver (mouse) - biodistribution,Mus musculus
SRX25195586,IT-Virus1-Shark3_1,Shark3 assessment library virus DNA,SRS21884673,SRR29692599,833101430,14575097,shark3,Virus DNA,,Homo sapiens HEK293 cells
SRX25195585,LowOcto_BioD-A4_Liver_3,Multifunction library mouse liver biodistribution,SRS21884671,SRR29692600,306171897,5313340,Multifunction,Biodistribution,liver (mouse) - biodistribution,Mus musculus
SRX25195584,LowOcto_BioD-A4_Liver_2,Multifunction library mouse liver biodistribution,SRS21884671,SRR29692601,318120505,5515996,Multifunction,Biodistribution,liver (mouse) - biodistribution,Mus musculus
SRX25195583,LowOcto_BioD-A4_Liver_1,Multifunction library mouse liver biodistribution,SRS21884671,SRR29692602,304310567,5309277,Multifunction,Biodistribution,liver (mouse) - biodistribution,Mus musculus
SRX25195582,LowOcto_BioD-A3_Liver_3,Multifunction library mouse liver biodistribution,SRS21884671,SRR29692603,515001827,8981968,Multifunction,Biodistribution,liver (mouse) - biodistribution,Mus musculus
SRX25195581,LowOcto_BioD-A3_Liver_2,Multifunction library mouse liver biodistribution,SRS21884671,SRR29692604,469272434,8226936,Multifunction,Biodistribution,liver (mouse) - biodistribution,Mus musculus
SRX25195580,LowOcto_BioD-A3_Liver_1,Multifunction library mouse liver biodistribution,SRS21884671,SRR29692605,439824870,7670660,Multifunction,Biodistribution,liver (mouse) - biodistribution,Mus musculus
SRX25195579,HighOcto_BioD-A4_Liver_3,Multifunction library mouse liver biodistribution,SRS21884671,SRR29692606,15787700,267854,Multifunction,Biodistribution,liver (mouse) - biodistribution,Mus musculus
SRX25195578,HighOcto_BioD-A4_Liver_2,Multifunction library mouse liver biodistribution,SRS21884671,SRR29692607,28344280,487019,Multifunction,Biodistribution,liver (mouse) - biodistribution,Mus musculus
SRX25195577,HighOcto_BioD-A4_Liver_1,Multifunction library mouse liver biodistribution,SRS21884671,SRR29692608,21116153,364712,Multifunction,Biodistribution,liver (mouse) - biodistribution,Mus musculus
SRX25195576,HighOcto_BioD-A3_Liver_3,Multifunction library mouse liver biodistribution,SRS21884671,SRR29692609,15755257,265343,Multifunction,Biodistribution,liver (mouse) - biodistribution,Mus musculus
SRX25195575,KC-DNA-Shark3_3,Shark3 assessment library plasmid DNA,SRS21884672,SRR29692610,244477185,4132563,shark3,Plasmid DNA,missing,not applicable
SRX25195574,HighOcto_BioD-A3_Liver_2,Multifunction library mouse liver biodistribution,SRS21884671,SRR29692611,21426837,365403,Multifunction,Biodistribution,liver (mouse) - biodistribution,Mus musculus
SRX25195573,HighOcto_BioD-A3_Liver_1,Multifunction library mouse liver biodistribution,SRS21884671,SRR29692612,29413332,507608,Multifunction,Biodistribution,liver (mouse) - biodistribution,Mus musculus
SRX25195572,hammerhead_Liver_a4_r2,Hammerhead library mouse liver biodistribution,SRS21884670,SRR29692518,330262995,5571181,Hammerhead,Biodistribution,Liver,Mus musculus
SRX25195571,hammerhead_Liver_a4_r1,Hammerhead library mouse liver biodistribution,SRS21884670,SRR29692614,583388799,9819836,Hammerhead,Biodistribution,Liver,Mus musculus
SRX25195570,hammerhead_Liver_a3_r3,Hammerhead library mouse liver biodistribution,SRS21884670,SRR29692615,119953084,2020796,Hammerhead,Biodistribution,Liver,Mus musculus
SRX25195569,IT-Virus2-Shark2_1,Shark2 modeling library virus DNA,SRS21884657,SRR29692616,675673736,11739446,shark2,Virus DNA,,Homo sapiens HEK293 cells
SRX25195568,hammerhead_Liver_a3_r2,Hammerhead library mouse liver biodistribution,SRS21884670,SRR29692617,111124953,1867965,Hammerhead,Biodistribution,Liver,Mus musculus
SRX25195567,hammerhead_Liver_a3_r1,Hammerhead library mouse liver biodistribution,SRS21884670,SRR29692618,428349983,7244275,Hammerhead,Biodistribution,Liver,Mus musculus
SRX25195566,hammerhead_Liver_a2_r3,Hammerhead library mouse liver biodistribution,SRS21884670,SRR29692619,473257397,8011325,Hammerhead,Biodistribution,Liver,Mus musculus
SRX25195565,hammerhead_Liver_a2_r2,Hammerhead library mouse liver biodistribution,SRS21884670,SRR29692620,526033394,8850793,Hammerhead,Biodistribution,Liver,Mus musculus
SRX25195564,hammerhead_Liver_a2_r1,Hammerhead library mouse liver biodistribution,SRS21884670,SRR29692621,536727091,8988849,Hammerhead,Biodistribution,Liver,Mus musculus
SRX25195563,hammerhead_Liver_a1_r3,Hammerhead library mouse liver biodistribution,SRS21884670,SRR29692622,527298311,8969785,Hammerhead,Biodistribution,Liver,Mus musculus
SRX25195562,hammerhead_Liver_a1_r2,Hammerhead library mouse liver biodistribution,SRS21884670,SRR29692623,590201920,10012231,Hammerhead,Biodistribution,Liver,Mus musculus
SRX25195561,hammerhead_Liver_a1_r1,Hammerhead library mouse liver biodistribution,SRS21884670,SRR29692624,607457154,10327483,Hammerhead,Biodistribution,Liver,Mus musculus
SRX25195560,hammerhead_Serum_a4_r1,Hammerhead library mouse serum biodistribution,SRS21884669,SRR29692625,438407664,7359664,Hammerhead,Biodistribution,Serum,Mus musculus
SRX25195559,hammerhead_Serum_a3_r1,Hammerhead library mouse serum biodistribution,SRS21884669,SRR29692626,1221921133,20828369,Hammerhead,Biodistribution,Serum,Mus musculus
SRX25195558,IT-Virus1-Shark2_3,Shark2 modeling library virus DNA,SRS21884657,SRR29692627,637772333,11018485,shark2,Virus DNA,,Homo sapiens HEK293 cells
SRX25195557,hammerhead_Serum_a2_r1,Hammerhead library mouse serum biodistribution,SRS21884669,SRR29692628,1611179014,27124434,Hammerhead,Biodistribution,Serum,Mus musculus
SRX25195556,hammerhead_Serum_a1_r1,Hammerhead library mouse serum biodistribution,SRS21884669,SRR29692629,813335769,13701713,Hammerhead,Biodistribution,Serum,Mus musculus
SRX25195555,hammerhead_HEK_tr_rep3,Hammerhead library HEK293 transduction,SRS21884668,SRR29692630,169571791,3154324,Hammerhead,Transduction,HEK (t),Homo sapiens HEK293 cells
SRX25195554,hammerhead_HEK_tr_rep2,Hammerhead library HEK293 transduction,SRS21884668,SRR29692631,175899751,3289388,Hammerhead,Transduction,HEK (t),Homo sapiens HEK293 cells
SRX25195553,hammerhead_HEK_tr_rep1,Hammerhead library HEK293 transduction,SRS21884668,SRR29692632,133698021,2432579,Hammerhead,Transduction,HEK (t),Homo sapiens HEK293 cells
SRX25195552,hammerhead_primary_human_brain_endo_bind_rep3,Hammerhead library hBMVEC binding,SRS21884667,SRR29692633,179875638,3301661,Hammerhead,Binding,hBMVEC (b),Homo sapiens hBMVEC primary cells
SRX25195551,hammerhead_primary_human_brain_endo_bind_rep2,Hammerhead library hBMVEC binding,SRS21884667,SRR29692634,136762374,2595444,Hammerhead,Binding,hBMVEC (b),Homo sapiens hBMVEC primary cells
SRX25195550,hammerhead_primary_human_brain_endo_bind_rep1,Hammerhead library hBMVEC binding,SRS21884667,SRR29692635,116445589,2150150,Hammerhead,Binding,hBMVEC (b),Homo sapiens hBMVEC primary cells
SRX25195549,hammerhead_C57_brain_endo_bind_rep3,Hammerhead library mBMVEC binding,SRS21884661,SRR29692636,177613510,3287113,Hammerhead,Binding,mBMVEC (b),Mus musculus mBMVEC primary cells
SRX25195548,hammerhead_Lung_a4_r2,Hammerhead library mouse lung biodistribution,SRS21884666,SRR29692637,637574245,10276667,Hammerhead,Biodistribution,Lung,Mus musculus
SRX25195547,KC-Virus1-Shark2_3,Shark2 modeling library virus DNA,SRS21884657,SRR29692638,664111965,11532280,shark2,Virus DNA,,Homo sapiens HEK293 cells
SRX25195546,hammerhead_Lung_a4_r1,Hammerhead library mouse lung biodistribution,SRS21884666,SRR29692639,396731872,6331810,Hammerhead,Biodistribution,Lung,Mus musculus
SRX25195545,hammerhead_Lung_a3_r3,Hammerhead library mouse lung biodistribution,SRS21884666,SRR29692640,443125922,7060072,Hammerhead,Biodistribution,Lung,Mus musculus
SRX25195544,hammerhead_Lung_a3_r2,Hammerhead library mouse lung biodistribution,SRS21884666,SRR29692641,254788401,4001085,Hammerhead,Biodistribution,Lung,Mus musculus
SRX25195543,hammerhead_Lung_a3_r1,Hammerhead library mouse lung biodistribution,SRS21884666,SRR29692642,404630552,6376786,Hammerhead,Biodistribution,Lung,Mus musculus
SRX25195542,hammerhead_Lung_a2_r3,Hammerhead library mouse lung biodistribution,SRS21884666,SRR29692643,135490089,2113270,Hammerhead,Biodistribution,Lung,Mus musculus
SRX25195541,hammerhead_Lung_a2_r2,Hammerhead library mouse lung biodistribution,SRS21884666,SRR29692644,159852344,2505746,Hammerhead,Biodistribution,Lung,Mus musculus
SRX25195540,hammerhead_Lung_a2_r1,Hammerhead library mouse lung biodistribution,SRS21884666,SRR29692645,129211389,2064594,Hammerhead,Biodistribution,Lung,Mus musculus
SRX25195539,hammerhead_Lung_a1_r3,Hammerhead library mouse lung biodistribution,SRS21884666,SRR29692646,214394962,3441248,Hammerhead,Biodistribution,Lung,Mus musculus
SRX25195538,hammerhead_Lung_a1_r2,Hammerhead library mouse lung biodistribution,SRS21884666,SRR29692647,48191081,763376,Hammerhead,Biodistribution,Lung,Mus musculus
SRX25195537,hammerhead_Lung_a1_r1,Hammerhead library mouse lung biodistribution,SRS21884666,SRR29692648,112025158,1777538,Hammerhead,Biodistribution,Lung,Mus musculus
SRX25195536,KC-Virus1-Shark2_2,Shark2 modeling library virus DNA,SRS21884657,SRR29692649,761001258,13274463,shark2,Virus DNA,,Homo sapiens HEK293 cells
SRX25195535,hammerhead_Heart_a4_r3,Hammerhead library mouse heart biodistribution,SRS21884665,SRR29692650,629871611,10515205,Hammerhead,Biodistribution,Heart,Mus musculus
SRX25195534,hammerhead_Heart_a4_r2,Hammerhead library mouse heart biodistribution,SRS21884665,SRR29692651,629401397,10636172,Hammerhead,Biodistribution,Heart,Mus musculus
SRX25195533,hammerhead_Heart_a4_r1,Hammerhead library mouse heart biodistribution,SRS21884665,SRR29692652,814477012,13677922,Hammerhead,Biodistribution,Heart,Mus musculus
SRX25195532,hammerhead_Heart_a3_r3,Hammerhead library mouse heart biodistribution,SRS21884665,SRR29692653,332036105,5628859,Hammerhead,Biodistribution,Heart,Mus musculus
SRX25195531,hammerhead_Heart_a3_r2,Hammerhead library mouse heart biodistribution,SRS21884665,SRR29692654,357797299,5993764,Hammerhead,Biodistribution,Heart,Mus musculus
SRX25195530,hammerhead_Heart_a3_r1,Hammerhead library mouse heart biodistribution,SRS21884665,SRR29692655,898238076,14780586,Hammerhead,Biodistribution,Heart,Mus musculus
SRX25195529,hammerhead_Heart_a2_r3,Hammerhead library mouse heart biodistribution,SRS21884665,SRR29692656,282094338,4627946,Hammerhead,Biodistribution,Heart,Mus musculus
SRX25195528,hammerhead_Heart_a2_r2,Hammerhead library mouse heart biodistribution,SRS21884665,SRR29692657,317644288,5315065,Hammerhead,Biodistribution,Heart,Mus musculus
SRX25195527,hammerhead_Heart_a2_r1,Hammerhead library mouse heart biodistribution,SRS21884665,SRR29692658,342283089,5727043,Hammerhead,Biodistribution,Heart,Mus musculus
SRX25195526,hammerhead_Heart_a1_r3,Hammerhead library mouse heart biodistribution,SRS21884665,SRR29692659,145763067,2442306,Hammerhead,Biodistribution,Heart,Mus musculus
SRX25195525,KC-Virus1-Shark2_1,Shark2 modeling library virus DNA,SRS21884657,SRR29692660,560520027,9745025,shark2,Virus DNA,,Homo sapiens HEK293 cells
SRX25195524,hammerhead_Heart_a1_r2,Hammerhead library mouse heart biodistribution,SRS21884665,SRR29692661,266403993,4492446,Hammerhead,Biodistribution,Heart,Mus musculus
SRX25195523,hammerhead_Heart_a1_r1,Hammerhead library mouse heart biodistribution,SRS21884665,SRR29692662,232508752,3887865,Hammerhead,Biodistribution,Heart,Mus musculus
SRX25195522,hammerhead_Kidney_a4_r3,Hammerhead library mouse kidney biodistribution,SRS21884664,SRR29692663,477775380,7845068,Hammerhead,Biodistribution,Kidney,Mus musculus
SRX25195521,hammerhead_Kidney_a4_r2,Hammerhead library mouse kidney biodistribution,SRS21884664,SRR29692664,295627953,4975705,Hammerhead,Biodistribution,Kidney,Mus musculus
SRX25195520,hammerhead_Kidney_a4_r1,Hammerhead library mouse kidney biodistribution,SRS21884664,SRR29692665,610370416,10366601,Hammerhead,Biodistribution,Kidney,Mus musculus
SRX25195519,hammerhead_Kidney_a3_r3,Hammerhead library mouse kidney biodistribution,SRS21884664,SRR29692666,628012161,10574486,Hammerhead,Biodistribution,Kidney,Mus musculus
SRX25195518,hammerhead_Kidney_a3_r2,Hammerhead library mouse kidney biodistribution,SRS21884664,SRR29692667,587787742,9924138,Hammerhead,Biodistribution,Kidney,Mus musculus
SRX25195517,hammerhead_Kidney_a3_r1,Hammerhead library mouse kidney biodistribution,SRS21884664,SRR29692668,519962482,8763657,Hammerhead,Biodistribution,Kidney,Mus musculus
SRX25195516,hammerhead_Kidney_a2_r3,Hammerhead library mouse kidney biodistribution,SRS21884664,SRR29692669,416493652,6872364,Hammerhead,Biodistribution,Kidney,Mus musculus
SRX25195515,hammerhead_Kidney_a2_r2,Hammerhead library mouse kidney biodistribution,SRS21884664,SRR29692670,359363170,5906644,Hammerhead,Biodistribution,Kidney,Mus musculus
SRX25195514,IT-Virus2-Shark2_3,Shark2 modeling library virus DNA,SRS21884657,SRR29692671,675299588,11823871,shark2,Virus DNA,,Homo sapiens HEK293 cells
SRX25195513,hammerhead_Kidney_a2_r1,Hammerhead library mouse kidney biodistribution,SRS21884664,SRR29692672,346138685,5805373,Hammerhead,Biodistribution,Kidney,Mus musculus
SRX25195512,hammerhead_Kidney_a1_r3,Hammerhead library mouse kidney biodistribution,SRS21884664,SRR29692673,395299311,6666110,Hammerhead,Biodistribution,Kidney,Mus musculus
SRX25195511,hammerhead_Kidney_a1_r2,Hammerhead library mouse kidney biodistribution,SRS21884664,SRR29692674,213532315,3597981,Hammerhead,Biodistribution,Kidney,Mus musculus
SRX25195510,hammerhead_Kidney_a1_r1,Hammerhead library mouse kidney biodistribution,SRS21884664,SRR29692675,344403992,5819014,Hammerhead,Biodistribution,Kidney,Mus musculus
SRX25195509,hammerhead_Spleen_a4_r3,Hammerhead library mouse spleen biodistribution,SRS21884663,SRR29692676,757567211,12742891,Hammerhead,Biodistribution,Spleen,Mus musculus
SRX25195508,hammerhead_Spleen_a4_r2,Hammerhead library mouse spleen biodistribution,SRS21884663,SRR29692677,572797389,9614031,Hammerhead,Biodistribution,Spleen,Mus musculus
SRX25195507,hammerhead_Spleen_a4_r1,Hammerhead library mouse spleen biodistribution,SRS21884663,SRR29692678,532570582,9040183,Hammerhead,Biodistribution,Spleen,Mus musculus
SRX25195506,hammerhead_Spleen_a3_r3,Hammerhead library mouse spleen biodistribution,SRS21884663,SRR29692679,603592354,10089070,Hammerhead,Biodistribution,Spleen,Mus musculus
SRX25195505,hammerhead_Spleen_a3_r2,Hammerhead library mouse spleen biodistribution,SRS21884663,SRR29692680,256988756,4291786,Hammerhead,Biodistribution,Spleen,Mus musculus
SRX25195504,hammerhead_Spleen_a3_r1,Hammerhead library mouse spleen biodistribution,SRS21884663,SRR29692681,569656817,9389983,Hammerhead,Biodistribution,Spleen,Mus musculus
SRX25195503,IT-Virus2-Shark2_2,Shark2 modeling library virus DNA,SRS21884657,SRR29692682,660356578,11428157,shark2,Virus DNA,,Homo sapiens HEK293 cells
SRX25195502,IT-DNA-Shark2_2,Shark2 modeling library plasmid DNA,SRS21884662,SRR29692683,367385023,6251187,shark2,Plasmid DNA,missing,not applicable
SRX25195501,IT-DNA-Shark2_1,Shark2 modeling library plasmid DNA,SRS21884662,SRR29692684,372520844,6331611,shark2,Plasmid DNA,missing,not applicable
SRX25195500,hammerhead_C57_brain_endo_bind_rep2,Hammerhead library mBMVEC binding,SRS21884661,SRR29692415,165451413,3069677,Hammerhead,Binding,mBMVEC (b),Mus musculus mBMVEC primary cells
SRX25195499,IT-Virus1-Shark2_2,Shark2 modeling library virus DNA,SRS21884657,SRR29692416,571978761,9911549,shark2,Virus DNA,,Homo sapiens HEK293 cells
SRX25195498,hammerhead_C57_brain_endo_bind_rep1,Hammerhead library mBMVEC binding,SRS21884661,SRR29692417,175651436,3217734,Hammerhead,Binding,mBMVEC (b),Mus musculus mBMVEC primary cells
SRX25195497,hammerhead_hCMECD3_bind_rep3,Hammerhead library hCMEC binding,SRS21884660,SRR29692418,162008454,2971580,Hammerhead,Binding,hCMEC (b),Homo sapiens hCMEC/d3 cells
SRX25195496,hammerhead_hCMECD3_bind_rep2,Hammerhead library hCMEC binding,SRS21884660,SRR29692420,203800828,3749346,Hammerhead,Binding,hCMEC (b),Homo sapiens hCMEC/d3 cells
SRX25195495,hammerhead_hCMECD3_bind_rep1,Hammerhead library hCMEC binding,SRS21884660,SRR29692421,184971306,3416129,Hammerhead,Binding,hCMEC (b),Homo sapiens hCMEC/d3 cells
SRX25195494,hammerhead_HEK_bind_rep3,Hammerhead library HEK293 binding,SRS21884659,SRR29692422,139612440,2597623,Hammerhead,Binding,HEK (b),Homo sapiens HEK293 cells
SRX25195493,hammerhead_HEK_bind_rep2,Hammerhead library HEK293 binding,SRS21884659,SRR29692423,198479697,3632511,Hammerhead,Binding,HEK (b),Homo sapiens HEK293 cells
SRX25195492,hammerhead_HEK_bind_rep1,Hammerhead library HEK293 binding,SRS21884659,SRR29692424,172105550,3168864,Hammerhead,Binding,HEK (b),Homo sapiens HEK293 cells
SRX25195491,hammerhead_starter_virus_prod2_3,Hammerhead library production round 2 virus DNA,SRS21884658,SRR29692425,420675790,7975016,Hammerhead,Virus DNA,missing,Homo sapiens HEK293 cells
SRX25195490,hammerhead_starter_virus_prod2_2,Hammerhead library production round 2 virus DNA,SRS21884658,SRR29692426,403174887,7709092,Hammerhead,Virus DNA,missing,Homo sapiens HEK293 cells
SRX25195489,hammerhead_starter_virus_prod2_1,Hammerhead library production round 2 virus DNA,SRS21884658,SRR29692427,426493051,8124698,Hammerhead,Virus DNA,missing,Homo sapiens HEK293 cells
SRX25195488,IT-Virus1-Shark2_1,Shark2 modeling library virus DNA,SRS21884657,SRR29692428,706035306,12201472,shark2,Virus DNA,,Homo sapiens HEK293 cells
SRX25195487,hammerhead_starter_virus_prod1_3,Hammerhead library virus DNA,SRS21884656,SRR29692429,4140431544,78784162,Hammerhead,Virus DNA,,Homo sapiens HEK293 cells
SRX25195486,hammerhead_starter_virus_prod1_2,Hammerhead library virus DNA,SRS21884656,SRR29692430,3792827088,70777352,Hammerhead,Virus DNA,,Homo sapiens HEK293 cells
SRX25195485,hammerhead_starter_virus_prod1_1,Hammerhead library virus DNA,SRS21884656,SRR29692431,4097844077,75274294,Hammerhead,Virus DNA,,Homo sapiens HEK293 cells
SRX25195484,hammerhead_DNA_3,Hammerhead library plasmid DNA,SRS21884655,SRR29692432,2184132511,38565738,Hammerhead,Plasmid DNA,missing,not applicable
SRX25195483,hammerhead_DNA_2,Hammerhead library plasmid DNA,SRS21884655,SRR29692433,2081670711,37495258,Hammerhead,Plasmid DNA,missing,not applicable
SRX25195482,hammerhead_DNA_1,Hammerhead library plasmid DNA,SRS21884655,SRR29692434,1789742741,32223649,Hammerhead,Plasmid DNA,missing,not applicable
SRX25195481,f4f_nnk_HEK-transduction_3,NNK library HEK293 transduction,SRS21884654,SRR29692435,64523244,1198487,NNK,Transduction,HEK (t),Homo sapiens HEK293 cells
