experiment_accession,experiment_alias,experiment_title,biosample_accession,run_accession,bytes,spots,library,assay_type,sample,lab_host
SRX25195706,octopus_run2_HepG2_T2,Multifunction library HEPG2 transduction,SRS21884690,SRR29692479,397167998,7585887,Multifunction,Transduction,HEPG2 (t),Homo sapiens HepG2 cells
SRX25195705,octopus_run2_HepG2_T1,Multifunction library HEPG2 transduction,SRS21884690,SRR29692480,93601580,1794153,Multifunction,Transduction,HEPG2 (t),Homo sapiens HepG2 cells
SRX25195704,KC-DNA-Shark3_1,Shark3 assessment library plasmid DNA,SRS21884672,SRR29692481,320244364,5508012,shark3,Plasmid DNA,missing,not applicable
SRX25195703,octopus_run1_HepG2_T4,Multifunction library HEPG2 transduction,SRS21884690,SRR29692482,205096730,3010814,Multifunction,Transduction,HEPG2 (t),Homo sapiens HepG2 cells
SRX25195702,octopus_run1_HepG2_T3,Multifunction library HEPG2 transduction,SRS21884690,SRR29692483,331432064,4898391,Multifunction,Transduction,HEPG2 (t),Homo sapiens HepG2 cells
SRX25195701,octopus_run1_HepG2_T2,Multifunction library HEPG2 transduction,SRS21884690,SRR29692484,341005381,5002085,Multifunction,Transduction,HEPG2 (t),Homo sapiens HepG2 cells
SRX25195700,octopus_run1_HepG2_T1,Multifunction library HEPG2 transduction,SRS21884690,SRR29692485,79201613,1156373,Multifunction,Transduction,HEPG2 (t),Homo sapiens HepG2 cells
SRX25195699,octopus_run2_THLE_B4,Multifunction library THLE2 binding,SRS21884689,SRR29692486,401072876,7645302,Multifunction,Binding,THLE2 (b),Homo sapiens THLE-2 cells
SRX25195698,octopus_run2_THLE_B3,Multifunction library THLE2 binding,SRS21884689,SRR29692487,407150659,7858085,Multifunction,Binding,THLE2 (b),Homo sapiens THLE-2 cells
SRX25195697,octopus_run2_THLE_B2,Multifunction library THLE2 binding,SRS21884689,SRR29692488,433849672,8364796,Multifunction,Binding,THLE2 (b),Homo sapiens THLE-2 cells
SRX25195696,octopus_run2_THLE_B1,Multifunction library THLE2 binding,SRS21884689,SRR29692489,330946276,6421754,Multifunction,Binding,THLE2 (b),Homo sapiens THLE-2 cells
SRX25195695,octopus_run1_THLE_B4,Multifunction library THLE2 binding,SRS21884689,SRR29692490,344857029,5122607,Multifunction,Binding,THLE2 (b),Homo sapiens THLE-2 cells
SRX25195694,octopus_run1_THLE_B3,Multifunction library THLE2 binding,SRS21884689,SRR29692491,355281005,5218844,Multifunction,Binding,THLE2 (b),Homo sapiens THLE-2 cells
SRX25195693,IT-DNA-Shark3_3,Shark3 assessment library plasmid DNA,SRS21884672,SRR29692492,491133400,8561048,shark3,Plasmid DNA,missing,not applicable
SRX25195692,IT-DNA-Shark2_3,Shark2 modeling library plasmid DNA,SRS21884662,SRR29692493,385253051,6688331,shark2,Plasmid DNA,missing,not applicable
SRX25195691,octopus_run1_THLE_B2,Multifunction library THLE2 binding,SRS21884689,SRR29692494,386009984,5694088,Multifunction,Binding,THLE2 (b),Homo sapiens THLE-2 cells
SRX25195690,octopus_run1_THLE_B1,Multifunction library THLE2 binding,SRS21884689,SRR29692495,287777569,4231637,Multifunction,Binding,THLE2 (b),Homo sapiens THLE-2 cells
SRX25195689,octopus_run2_HepG2_B4,Multifunction library HEPG2 binding,SRS21884688,SRR29692496,328451312,6369723,Multifunction,Binding,HEPG2 (b),Homo sapiens HepG2 cells
SRX25195688,octopus_run2_HepG2_B3,Multifunction library HEPG2 binding,SRS21884688,SRR29692497,294050419,5635309,Multifunction,Binding,HEPG2 (b),Homo sapiens HepG2 cells
SRX25195687,octopus_run2_HepG2_B2,Multifunction library HEPG2 binding,SRS21884688,SRR29692498,345447105,6592056,Multifunction,Binding,HEPG2 (b),Homo sapiens HepG2 cells
SRX25195686,octopus_run2_HepG2_B1,Multifunction library HEPG2 binding,SRS21884688,SRR29692499,237361701,4564168,Multifunction,Binding,HEPG2 (b),Homo sapiens HepG2 cells
