task,model,split,random_state,train_rows,test_rows,pearson_r,r2,mae
Production2,ridge,random-holdout-sanity-check,42,78854,19714,0.6570296167958868,0.4316029724750374,1.048161795992107
Liver,ridge,random-holdout-sanity-check,42,78896,19725,0.7419294723975862,0.5504427066318951,0.7765952492946612
HepG2_bind,ridge,random-holdout-sanity-check,42,61493,15374,0.6038845163126433,0.3645090455778487,1.000835073279039
HepG2_tr,ridge,random-holdout-sanity-check,42,26339,6585,0.5644901116668212,0.3183744110811453,1.2191436814378223
THLE_bind,ridge,random-holdout-sanity-check,42,73207,18302,0.5229906737692906,0.27311268458910387,0.8576921583403766
THLE_tr,ridge,random-holdout-sanity-check,42,43276,10820,0.5889250661093222,0.34650351143312763,1.1582650626593853
