task,model,feature_set,split,random_state,train_rows,task_train_observations,internal_validation_rows,test_rows,best_epoch,internal_validation_loss,device,animal_mean_vs_animal4_pearson_r,model_vs_animal_mean_pearson_r,model_vs_animal4_pearson_r,model_vs_animal4_spearman_r,model_vs_animal4_r2,model_vs_animal4_mae,model_vs_animal4_rmse,model_vs_animal4_bootstrap_resamples,model_vs_animal4_bootstrap_confidence,model_vs_animal4_pearson_r_ci_low,model_vs_animal4_pearson_r_ci_high,model_vs_animal4_spearman_r_ci_low,model_vs_animal4_spearman_r_ci_high,model_vs_animal4_r2_ci_low,model_vs_animal4_r2_ci_high,model_vs_animal4_mae_ci_low,model_vs_animal4_mae_ci_high,model_vs_animal4_rmse_ci_low,model_vs_animal4_rmse_ci_high
brain,torch_masked_shared_mlp_64_32,one_hot,distance-2-sequence-holdout__train-a1-a3__test-a4,42,77942,74877,11670,18357,16,0.5860395431518555,cpu,0.6224487232638247,0.5684171384613426,0.547158482974139,0.5534431336923322,0.2889025240862655,0.6957346329805778,0.9542119351541551,500,0.95,0.5360415273774801,0.5586685087351511,0.5420194128798862,0.5635366653088888,0.2776302934636993,0.3004222788944512,0.6866618509101692,0.705377778048291,0.9402743598991381,0.9693986574379777
spinal_cord,torch_masked_shared_mlp_64_32,one_hot,distance-2-sequence-holdout__train-a1-a3__test-a4,42,77942,76225,11670,18682,16,0.5860395431518555,cpu,0.6410669061537677,0.5949338515253092,0.562278328770676,0.6010985733772036,0.29778909470172554,0.6882960448049305,0.9628488424854277,500,0.95,0.5505295799273906,0.5756517924371458,0.5916562907297819,0.6116182647566195,0.28672433591294916,0.30992178677774396,0.6789352422795927,0.6975239878843962,0.9481882121919055,0.9771170806058054
liver,torch_masked_shared_mlp_64_32,one_hot,distance-2-sequence-holdout__train-a1-a3__test-a4,42,77942,76971,11670,18619,16,0.5860395431518555,cpu,0.823121080856108,0.8156781075350524,0.7809124379639841,0.798037124182384,0.6074761792336669,0.7318395273005653,0.9920489960403287,500,0.95,0.7746767871257166,0.7870477688899178,0.792166654684468,0.803888119385837,0.5978196061883455,0.616653619630807,0.7226025457585054,0.7411915131972601,0.9789416467993595,1.005026255160725
heart,torch_masked_shared_mlp_64_32,one_hot,distance-2-sequence-holdout__train-a1-a3__test-a4,42,77942,77462,11670,19508,16,0.5860395431518555,cpu,0.5954400686468404,0.5421298571409271,0.45267065668473655,0.43354037906519094,0.2005361965158764,0.6602671002411947,0.9123667300980515,500,0.95,0.43962924563747874,0.46553028424028514,0.42013334323225676,0.44560098490523703,0.19036848514269036,0.210823487655973,0.6514953264397914,0.6687367759854022,0.8976822578784587,0.9259756471970002
kidney,torch_masked_shared_mlp_64_32,one_hot,distance-2-sequence-holdout__train-a1-a3__test-a4,42,77942,77622,11670,19433,16,0.5860395431518555,cpu,0.7285953352593059,0.6826468483090663,0.6281805053361055,0.6440025080395971,0.3907462711494929,0.5716259727295082,0.7667965431203284,500,0.95,0.6190010833175958,0.636970721847761,0.6349091828644152,0.6529997453930535,0.3798854306739683,0.40127888778359877,0.5644967949636988,0.5785948057300966,0.7553548753539956,0.777599613145607
